X,Y,MANUFACTUR,OWNER,CITY_FILE,SHEET_NUM,YEAR_BUILT,STATUS,SOURCE,COMMENT,PIPE_ID,ASSETID,LAST_UPDAT,STATION,TRUCK,SHIFT,INSPECTION,CONDITION,icon_url
-97.0641405175486,32.6307162995378,WATEROUS,GRAND PRAIRIE,P-777B,"19","2000",ACTIVE,AS BUILT,NO COMMENT,"889","458",2016/06/02,,,,,,./0.png
-97.0636930228659,32.631118285299,WATEROUS,GRAND PRAIRIE,P-777B,"19","2000",ACTIVE,AS BUILT,NO COMMENT,"903","457",2016/06/02,,,,,,./0.png
-97.0575713388182,32.6316530670801,WATEROUS,GRAND PRAIRIE,P-844,"37","2001",ACTIVE,AS BUILT,NO COMMENT,"913","424",2023/02/15,,,,,,./0.png
-97.0630874794566,32.6366999128785,WATEROUS,GRAND PRAIRIE,W-675,1-3,"2002",ACTIVE,AS BUILT,NO COMMENT,"934","373",2018/02/05,,,,,,./0.png
-97.0559806601576,32.6370322281154,WATEROUS,GRAND PRAIRIE,P-953,"3","2003",ACTIVE,AS BUILT,NO COMMENT,"935","379",2016/06/02,,,,,,./0.png
-97.054649814818,32.6367122509109,WATEROUS,GRAND PRAIRIE,P-953,"3","2003",ACTIVE,AS BUILT,NO COMMENT,"938","377",2022/01/25,,,,,,./0.png
-97.0558718595514,32.6361387439446,WATEROUS,GRAND PRAIRIE,P-953,"3","2003",ACTIVE,AS BUILT,NO COMMENT,"938","378",2020/10/01,,,,,,./0.png
-97.0588728231686,32.637921066682,WATEROUS,GRAND PRAIRIE,P-880B,"4","2002",ACTIVE,AS BUILT,NO COMMENT,"941","383",2020/10/01,,,,,,./0.png
-97.0566550019071,32.6376541864367,WATEROUS,GRAND PRAIRIE,P-880B,"4","2002",ACTIVE,AS BUILT,NO COMMENT,"944","381",2023/02/14,,,,,,./0.png
-97.0550525111791,32.6379706140524,WATEROUS,GRAND PRAIRIE,P-880B,"4","2002",ACTIVE,AS BUILT,NO COMMENT,"946","376",2016/06/02,,,,,,./0.png
-97.0607783034757,32.6386942285733,WATEROUS,GRAND PRAIRIE,P-880B,"4","2002",ACTIVE,AS BUILT,NO COMMENT,"949","387",2018/02/05,,,,,,./0.png
-97.0523808301636,32.6389067501805,MUELLER,GRAND PRAIRIE,P-916-A,"36","2003",ACTIVE,DESIGN PLANS,NO COMMENT,"962","399",2016/06/02,,,,,,./0.png
-97.0532380227119,32.6384947031346,MUELLER,GRAND PRAIRIE,P-916B,"25","2003",ACTIVE,AS BUILT,NO COMMENT,"962","400",2016/06/02,,,,,,./0.png
-97.0573479247642,32.6382665603863,WATEROUS,GRAND PRAIRIE,P-880B,"4","2002",ACTIVE,AS BUILT,NO COMMENT,"963","380",2016/06/02,,,,,,./0.png
-97.0497651767772,32.6391029914982,MUELLER,GRAND PRAIRIE,P-916-A,"36","2003",ACTIVE,DESIGN PLANS,NO COMMENT,"978","405",2016/06/02,,,,,,./0.png
-97.0576428463556,32.6390831227012,WATEROUS,GRAND PRAIRIE,P-880B,"4","2002",ACTIVE,AS BUILT,NO COMMENT,"981","382",2023/02/14,,,,,,./0.png
-97.0558580670379,32.6394881775255,WATEROUS,GRAND PRAIRIE,P-880B,"4","2002",ACTIVE,AS BUILT,NO COMMENT,"983","375",2022/01/25,,,,,,./0.png
-97.0600922355069,32.6395191480405,WATEROUS,GRAND PRAIRIE,P-880B,"4","2002",ACTIVE,AS BUILT,NO COMMENT,"985","384",2023/02/14,,,,,,./0.png
-97.0522500468214,32.6400111743186,MUELLER,GRAND PRAIRIE,P-916-A,"36","2003",ACTIVE,DESIGN PLANS,NO COMMENT,"998","398",2023/02/14,,,,,,./0.png
-97.058609516275,32.6395947246969,WATEROUS,GRAND PRAIRIE,P-880B,"4","2002",ACTIVE,AS BUILT,NO COMMENT,"1010","386",2023/02/14,,,,,,./0.png
-97.0506179877548,32.6396029506737,MUELLER,GRAND PRAIRIE,P-916-A,"36","2003",ACTIVE,DESIGN PLANS,NO COMMENT,"1017","408",2016/06/02,,,,,,./0.png
-97.0498330127084,32.6406883346009,MUELLER,GRAND PRAIRIE,P-916-A,"36","2003",ACTIVE,DESIGN PLANS,NO COMMENT,"1018","407",2023/02/14,,,,,,./0.png
-97.0524732254916,32.6406405347113,MUELLER,GRAND PRAIRIE,P-916-A,"36","2003",ACTIVE,DESIGN PLANS,NO COMMENT,"1019","396",2016/06/02,,,,,,./0.png
-97.0589297077518,32.6404241568803,WATEROUS,GRAND PRAIRIE,P-880B,"4","0",ACTIVE,AS BUILT,NO COMMENT,"1029","385",2020/10/01,,,,,,./0.png
-97.0567718022731,32.6408646740032,WATEROUS,GRAND PRAIRIE,P-880B,"4","2002",ACTIVE,AS BUILT,NO COMMENT,"1042","374",2020/10/01,,,,,,./0.png
-97.058461490917,32.641116741302,WATEROUS,GRAND PRAIRIE,P-916B,"25","2003",ACTIVE,AS BUILT,"REFERENCED, NOT VERIFIED","1052","390",2023/02/14,,,,,,./0.png
-97.0524477983964,32.6416419639087,WATEROUS,GRAND PRAIRIE,P-916-A,"36","2003",ACTIVE,DESIGN PLANS,NO COMMENT,"1055","392",2016/06/02,,,,,,./0.png
-97.0536297681733,32.6410464535471,WATEROUS,GRAND PRAIRIE,P-916B,"25","2003",ACTIVE,AS BUILT,NO COMMENT,"1055","393",2016/06/02,,,,,,./0.png
-97.0519199912795,32.6412716860172,MUELLER,GRAND PRAIRIE,P-916-A,"36","2003",ACTIVE,DESIGN PLANS,NO COMMENT,"1057","403",2023/02/14,,,,,,./0.png
-97.0570759986947,32.6417822451633,WATEROUS,GRAND PRAIRIE,P-916B,"25","2003",ACTIVE,AS BUILT,NO COMMENT,"1062","391",2018/11/27,,,,,,./0.png
-97.0450428451238,32.6419875606267,MUELLER,GRAND PRAIRIE,P-969,"21","2003",ACTIVE,DESIGN PLANS,NO COMMENT,"1097","356",2023/03/01,,,,,,./0.png
-97.0354130287564,32.6427891043363,WATEROUS,GRAND PRAIRIE,P-924B,"13","2002",ACTIVE,AS BUILT,NO COMMENT,"1101","344",2016/06/02,,,,,,./0.png
-97.0345447115103,32.6452455173268,WATEROUS,GRAND PRAIRIE,P-924A,"15","2002",ACTIVE,AS BUILT,NO COMMENT,"1216","340",2016/06/02,,,,,,./0.png
-97.0552631896206,32.645564647919,MUELLER,GRAND PRAIRIE,P-931,"26","2002",ACTIVE,DESIGN PLANS,NO COMMENT,"1231","369",2020/10/01,,,,,,./0.png
-97.0562235629535,32.6456658625374,MUELLER,GRAND PRAIRIE,P-931,"26","2002",ACTIVE,DESIGN PLANS,NO COMMENT,"1249","370",2020/10/01,,,,,,./0.png
-97.0344682155304,32.6463591547893,MUELLER,GRAND PRAIRIE,P-434G2,"3","1979",ACTIVE,AS BUILT,NO COMMENT,"1272","538",2020/10/01,,,,,,./0.png
-97.0305564354882,32.6464376806033,MUELLER,GRAND PRAIRIE,P-434F2,"3","1979",ACTIVE,AS BUILT,NO COMMENT,"1276","540",2016/06/02,,,,,,./0.png
-97.0570396678054,32.6468291709373,MUELLER,GRAND PRAIRIE,P-931,"26","2002",ACTIVE,DESIGN PLANS,NO COMMENT,"1287","372",2017/10/10,,,,,,./0.png
-97.0333858506591,32.64729466904,MUELLER,GRAND PRAIRIE,P-434G2,"3","1979",ACTIVE,AS BUILT,NO COMMENT,"1300","542",2016/06/02,,,,,,./0.png
-97.0277415122183,32.6474509469555,MUELLER,GRAND PRAIRIE,W-133,"23","1978",ACTIVE,AS BUILT,NO COMMENT,"1307","336",2016/06/02,,,,,,./0.png
-97.0259770580857,32.6474740881517,MUELLER,GRAND PRAIRIE,W-133,"32","1978",ACTIVE,AS BUILT,NO COMMENT,"1308","335",2016/06/02,,,,,,./0.png
